1:0.4082528 2:0.1974019 3:0.1539269 4:0.1017331 5:0.0887992 6:0.0500379 
1:0.3383077 2:0.3862189 3:0.1377647 4:0.0630533 5:0.0433808 6:0.0315532 
1:0.4726123 2:0.2087394 3:0.1307885 4:0.0637762 5:0.0870535 6:0.0392602 
1:0.4618287 2:0.1573982 3:0.119607 4:0.1127153 5:0.0687995 6:0.0824119 
1:0.4617122 2:0.2685981 3:0.1264607 4:0.0611957 5:0.0498078 6:0.0342071 
1:0.2325094 2:0.1710076 3:0.165947 4:0.1510178 5:0.1432888 6:0.1366489 
1:0.3547516 2:0.266755 3:0.1982365 4:0.0718779 5:0.063426 6:0.0534942 
1:0.5459842 2:0.1749386 3:0.1112119 4:0.0695796 5:0.0523279 6:0.0487985 
1:0.3070812 2:0.298279 3:0.1736392 4:0.1026696 5:0.0598638 6:0.0588159 
1:0.3793274 2:0.3518556 3:0.0955706 4:0.0576631 5:0.0567902 6:0.0606964 
1:0.3021824 2:0.3104683 3:0.1635669 4:0.1163472 5:0.06481 6:0.0431035 
1:0.1589392 2:0.3011602 3:0.1791294 4:0.2328882 5:0.0731597 6:0.0548677 
1:0.2610253 2:0.340118 3:0.2660271 4:0.0576298 5:0.0423856 6:0.0329188 
